file_name,altitude,time,surface,distance,run_start,heart_rate,landuse,width,path_index,latitude,speed,cadence,longitude,maxspeed
270.tcx,168.8000030517578,1.456653914e9,asphalt,3516.260009765625,592337,148,farmland,50,136,46.59471491351724,8.458999633789062,96,16.199718927964568,70
270.tcx,168.8000030517578,1.456653921e9,asphalt,3575.570068359375,592337,151,industrial,50,136,46.595039796084166,8.45300006866455,96,16.199105540290475,70
270.tcx,168.8000030517578,1.456653924e9,asphalt,3600.8798828125,592337,151,industrial,50,136,46.5951485093683,8.461999893188477,96,16.198814939707518,70
270.tcx,168.8000030517578,1.456653932e9,asphalt,3668.159912109375,592337,150,farmland,50,136,46.595357889309525,8.463000297546387,96,16.19798538275063,90
270.tcx,168.8000030517578,1.456653934e9,asphalt,3684.47998046875,592337,150,meadow,50,136,46.595405330881476,8.465999603271484,96,16.197783714160323,90
270.tcx,168.8000030517578,1.456653942e9,asphalt,3751.989990234375,592337,148,farmland,50,136,46.59560540691018,8.54800033569336,96,16.196951810270548,90
270.tcx,168.8000030517578,1.456653944e9,asphalt,3769.1298828125,592337,145,farmland,50,136,46.59565326757729,8.437000274658203,96,16.196739245206118,90
270.tcx,168.8000030517578,1.456653945e9,asphalt,3777.239990234375,592337,146,farmland,50,136,46.5956768207252,8.467000007629395,96,16.196638997644186,90
270.tcx,168.8000030517578,1.456653952e9,asphalt,3837.43994140625,592337,147,farmland,50,136,46.595847895368934,8.583999633789062,96,16.195893678814173,90
270.tcx,168.8000030517578,1.456653953e9,asphalt,3846.610107421875,592337,147,farmland,50,136,46.595872873440385,8.618000030517578,96,16.19577968493104,90
161.tcx,119.19999694824219,1.435163191e9,asphalt,2512.320068359375,191693,138,farmland,50,45,46.590303014963865,8.885000228881836,96,16.207570005208254,50
161.tcx,119.19999694824219,1.435163198e9,asphalt,2575.7099609375,191693,138,farmland,50,45,46.59066192805767,9.14799976348877,96,16.20692719705403,50
161.tcx,119.19999694824219,1.435163199e9,asphalt,2585.139892578125,191693,138,farmland,50,45,46.59071557223797,9.164999961853027,96,16.206831894814968,50
161.tcx,119.19999694824219,1.435163206e9,asphalt,2648.9599609375,191693,138,farmland,50,45,46.59107591025531,9.116000175476074,96,16.20618355460465,50
161.tcx,119.19999694824219,1.435163213e9,asphalt,2711.510009765625,191693,138,farmland,50,45,46.591434152796865,8.88599967956543,96,16.2055541574955,50
161.tcx,119.19999694824219,1.435163216e9,asphalt,2737.89990234375,191693,138,farmland,50,45,46.591583266854286,8.890999794006348,96,16.205286188051105,50
161.tcx,119.19999694824219,1.435163223e9,asphalt,2801.0,191693,138,farmland,50,45,46.59193933010101,9.039999961853027,96,16.204644972458482,50
161.tcx,119.19999694824219,1.43516323e9,asphalt,2864.110107421875,191693,138,farmland,50,45,46.59229698590934,9.081999778747559,96,16.20400534942746,50
161.tcx,119.19999694824219,1.435163235e9,asphalt,2909.800048828125,191693,138,farmland,50,45,46.59255615435541,9.095999717712402,96,16.203542668372393,50
161.tcx,119.19999694824219,1.435163242e9,asphalt,2972.280029296875,191693,138,farmland,50,45,46.592909367755055,8.928999900817871,96,16.202908577397466,50
161.tcx,119.19999694824219,1.435163248e9,asphalt,3025.8701171875,191693,138,farmland,50,45,46.593213798478246,8.98799991607666,96,16.20236643590033,50
161.tcx,119.19999694824219,1.435163255e9,asphalt,3089.0,191693,138,farmland,50,45,46.59357153810561,9.010000228881836,96,16.201726645231247,50
161.tcx,119.19999694824219,1.435163262e9,asphalt,3151.320068359375,191693,138,farmland,50,45,46.59392106346786,8.782999992370605,96,16.201090710237622,50
161.tcx,119.19999694824219,1.435163267e9,asphalt,3195.68994140625,191693,138,farmland,50,45,46.59417377784848,8.961999893188477,96,16.20064252987504,50
161.tcx,119.19999694824219,1.435163274e9,asphalt,3258.760009765625,191693,138,farmland,50,45,46.59452791325748,9.027000427246094,96,16.199999721720815,70
161.tcx,119.19999694824219,1.435163281e9,asphalt,3321.489990234375,191693,138,farmland,50,45,46.59488171339035,8.96500015258789,96,16.19936177507043,70
161.tcx,119.19999694824219,1.435163287e9,asphalt,3375.340087890625,191693,138,industrial,50,45,46.59512797370553,8.944999694824219,96,16.198758613318205,70
161.tcx,119.5999984741211,1.435163292e9,asphalt,3420.320068359375,191693,138,farmland,50,45,46.595267029479146,9.053000450134277,96,16.198206078261137,50
161.tcx,120.0,1.435163293e9,asphalt,3429.22998046875,191693,138,farmland,50,45,46.59529393538833,9.045000076293945,96,16.198096526786685,90
161.tcx,120.4000015258789,1.435163294e9,asphalt,3438.050048828125,191693,138,farmland,50,45,46.59532033838332,9.029999732971191,96,16.197988064959645,90
161.tcx,120.80000305175781,1.435163295e9,asphalt,3447.429931640625,191693,138,farmland,50,45,46.59534816630185,9.010000228881836,96,16.19787247851491,90
161.tcx,121.19999694824219,1.435163296e9,asphalt,3456.10009765625,191693,138,farmland,50,45,46.59537373110652,8.994999885559082,96,16.19776552543044,90
161.tcx,121.19999694824219,1.435163303e9,asphalt,3518.080078125,191693,138,farmland,50,45,46.59555612131953,8.85200023651123,96,16.19700126349926,90
161.tcx,121.19999694824219,1.435163306e9,asphalt,3544.77001953125,191693,138,farmland,50,45,46.59563323482871,8.871000289916992,96,16.19667151942849,90
161.tcx,121.19999694824219,1.435163308e9,asphalt,3562.909912109375,191693,138,farmland,50,45,46.59568679518998,8.880999565124512,96,16.196447806432843,90
161.tcx,121.19999694824219,1.435163315e9,asphalt,3626.14990234375,191693,138,farmland,50,45,46.59587404690683,9.104000091552734,96,16.195668540894985,90
26.tcx,214.0,1.432570674e9,asphalt,3056.8798828125,2025224,139,farmland,50,444,46.59094967879355,7.683000087738037,96,16.206412632018328,50
26.tcx,214.0,1.432570675e9,asphalt,3064.8798828125,2025224,140,farmland,50,444,46.59099703654647,7.860000133514404,96,16.20633409358561,50
26.tcx,214.0,1.432570683e9,asphalt,3127.47998046875,2025224,138,farmland,50,444,46.59135318361223,7.98799991607666,96,16.20570125989616,50
26.tcx,214.0,1.432570686e9,asphalt,3150.5,2025224,139,farmland,50,444,46.59148771315813,7.915999889373779,96,16.205472853034735,50
26.tcx,214.0,1.432570691e9,asphalt,3189.6201171875,2025224,142,farmland,50,444,46.591706899926066,8.175000190734863,96,16.205073539167643,50
26.tcx,214.39999389648438,1.432570694e9,asphalt,3213.31005859375,2025224,143,farmland,50,444,46.59184427931905,7.900000095367432,96,16.204837169498205,50
26.tcx,214.8000030517578,1.432570695e9,asphalt,3221.39990234375,2025224,143,farmland,50,444,46.59188929013908,7.908999919891357,96,16.204754188656807,50
26.tcx,215.1999969482422,1.432570696e9,asphalt,3229.260009765625,2025224,143,farmland,50,444,46.59193245694041,7.885000228881836,96,16.204672884196043,50
26.tcx,215.60000610351562,1.432570697e9,asphalt,3236.8798828125,2025224,143,farmland,50,444,46.59197528846562,7.734000205993652,96,16.204595183953643,50
26.tcx,216.0,1.432570698e9,asphalt,3244.75,2025224,142,farmland,50,444,46.592018119990826,7.704999923706055,96,16.20451346039772,50
26.tcx,216.0,1.432570703e9,asphalt,3283.14990234375,2025224,142,farmland,50,444,46.59223076887429,7.714000225067139,96,16.20411858893931,50
26.tcx,216.0,1.43257071e9,asphalt,3337.239990234375,2025224,141,farmland,50,444,46.59253302030265,7.706999778747559,96,16.203565634787083,50
26.tcx,216.0,1.432570717e9,asphalt,3391.89990234375,2025224,140,farmland,50,444,46.59284273162484,7.870999813079834,96,16.203011674806476,50
26.tcx,216.0,1.432570725e9,asphalt,3455.219970703125,2025224,137,farmland,50,444,46.59320021979511,7.633999824523926,96,16.202368531376123,50
26.tcx,216.0,1.432570733e9,asphalt,3516.7099609375,2025224,136,farmland,50,444,46.59354329109192,7.607999801635742,96,16.201739218086004,50
26.tcx,216.0,1.432570736e9,asphalt,3540.780029296875,2025224,139,farmland,50,444,46.59368008375168,7.810999870300293,96,16.20149572379887,50
26.tcx,216.0,1.432570741e9,asphalt,3581.909912109375,2025224,139,farmland,50,444,46.59391410648823,8.34000015258789,96,16.20107989758253,50
26.tcx,216.0,1.432570749e9,asphalt,3647.580078125,2025224,138,farmland,50,444,46.5942885261029,8.229999542236328,96,16.200417140498757,70
26.tcx,216.0,1.432570751e9,asphalt,3664.169921875,2025224,138,farmland,50,444,46.59438374452293,8.197999954223633,96,16.200250508263707,70
26.tcx,216.0,1.432570758e9,asphalt,3720.489990234375,2025224,141,farmland,50,444,46.5946960542351,8.031999588012695,96,16.19967165403068,70
26.tcx,216.0,1.432570762e9,asphalt,3752.469970703125,2025224,140,farmland,50,444,46.59487794153392,8.003000259399414,96,16.199348280206323,70
26.tcx,216.0,1.432570769e9,asphalt,3808.889892578125,2025224,142,industrial,50,444,46.59513861872256,7.968999862670898,96,16.198716033250093,70
26.tcx,216.0,1.432570775e9,asphalt,3855.7900390625,2025224,139,farmland,50,444,46.59528421238065,7.8420000076293945,96,16.198132820427418,90
26.tcx,216.0,1.432570778e9,asphalt,3879.449951171875,2025224,137,farmland,50,444,46.59535286016762,7.939000129699707,96,16.197838615626097,90
26.tcx,216.0,1.432570786e9,asphalt,3941.820068359375,2025224,137,farmland,50,444,46.59553315490484,7.936999797821045,96,16.19706764817238,90
26.tcx,216.0,1.432570793e9,asphalt,3997.02001953125,2025224,140,farmland,50,444,46.59568729810417,7.88700008392334,96,16.196383014321327,90
210.tcx,182.1999969482422,1.408355604e9,asphalt,3214.39990234375,287527,116,farmland,50,64,46.59061850979924,7.64300012588501,96,16.207013363018632,50
210.tcx,182.1999969482422,1.408355612e9,asphalt,3276.1201171875,287527,118,farmland,50,64,46.59097013063729,7.75,96,16.206390084698796,50
210.tcx,182.1999969482422,1.408355613e9,asphalt,3284.199951171875,287527,118,farmland,50,64,46.59101656638086,7.736000061035156,96,16.206308864057064,50
210.tcx,182.1999969482422,1.408355621e9,asphalt,3346.010009765625,287527,118,farmland,50,64,46.5913668461144,7.7220001220703125,96,16.20568265207112,50
210.tcx,182.1999969482422,1.408355628e9,asphalt,3399.889892578125,287527,120,farmland,50,64,46.591673120856285,7.677000045776367,96,16.205137744545937,50
210.tcx,182.1999969482422,1.408355636e9,asphalt,3461.18994140625,287527,118,farmland,50,64,46.59201384522021,7.675000190734863,96,16.20450859889388,50
210.tcx,182.1999969482422,1.408355644e9,asphalt,3522.199951171875,287527,121,farmland,50,64,46.59235834144056,7.630000114440918,96,16.203889092430472,50
210.tcx,182.1999969482422,1.408355647e9,asphalt,3544.840087890625,287527,122,farmland,50,64,46.592485243454576,7.619999885559082,96,16.20365783572197,50
210.tcx,182.1999969482422,1.408355654e9,asphalt,3596.47998046875,287527,119,farmland,50,64,46.59277726896107,7.375999927520752,96,16.203133799135685,50
210.tcx,182.1999969482422,1.408355662e9,asphalt,3655.679931640625,287527,120,farmland,50,64,46.59311623312533,7.434000015258789,96,16.202538013458252,50
210.tcx,182.1999969482422,1.408355671e9,asphalt,3722.0,287527,122,farmland,50,64,46.59348679706454,7.2729997634887695,96,16.201859917491674,50
210.tcx,182.1999969482422,1.408355677e9,asphalt,3764.97998046875,287527,121,farmland,50,64,46.59373180009425,7.288000106811523,96,16.201425986364484,50
210.tcx,182.1999969482422,1.408355686e9,asphalt,3829.800048828125,287527,119,farmland,50,64,46.59410278312862,6.85099983215332,96,16.20077353902161,50
210.tcx,182.1999969482422,1.408355687e9,asphalt,3836.56005859375,287527,119,farmland,50,64,46.594140669330955,6.85699987411499,96,16.200704472139478,50
210.tcx,182.1999969482422,1.408355692e9,asphalt,3874.9599609375,287527,122,farmland,50,64,46.59435625188053,7.4670000076293945,96,16.200312953442335,70
210.tcx,182.1999969482422,1.408355694e9,asphalt,3889.820068359375,287527,122,farmland,50,64,46.59444032236934,7.2769999504089355,96,16.200162079185247,70
210.tcx,182.1999969482422,1.408355701e9,asphalt,3940.39990234375,287527,119,farmland,50,64,46.59472815692425,7.123000144958496,96,16.199650950729847,70
210.tcx,182.1999969482422,1.408355704e9,asphalt,3962.10009765625,287527,118,farmland,50,64,46.59484860487282,7.14300012588501,96,16.199428159743547,70
210.tcx,182.1999969482422,1.408355708e9,asphalt,3990.030029296875,287527,117,farmland,50,64,46.5949947014451,7.09499979019165,96,16.199131859466434,70
210.tcx,182.1999969482422,1.408355716e9,asphalt,4047.3701171875,287527,117,farmland,50,64,46.59521481022239,7.228000164031982,96,16.198456780984998,50
210.tcx,182.1999969482422,1.408355724e9,asphalt,4105.93017578125,287527,114,farmland,50,64,46.595386220142245,7.2179999351501465,96,16.197734344750643,90
210.tcx,182.1999969482422,1.408355725e9,asphalt,4113.1201171875,287527,113,farmland,50,64,46.59540809690952,7.236000061035156,96,16.197646083310246,90
210.tcx,182.1999969482422,1.408355734e9,asphalt,4176.89013671875,287527,115,farmland,50,64,46.595593839883804,7.142000198364258,96,16.196858687326312,90
210.tcx,182.1999969482422,1.408355737e9,asphalt,4198.8798828125,287527,115,farmland,50,64,46.595651088282466,7.129000186920166,96,16.19658392854035,90
210.tcx,182.1999969482422,1.408355741e9,asphalt,4228.25,287527,118,farmland,50,64,46.59573440439999,7.394999980926514,96,16.196220153942704,90
210.tcx,182.1999969482422,1.408355746e9,asphalt,4265.1201171875,287527,121,farmland,50,64,46.59583993256092,7.434999942779541,96,16.19576409459114,90
171.tcx,127.80000305175781,1.409229966e9,asphalt,2154.1298828125,1933925,130,farmland,50,420,46.590488171204925,8.461000442504883,96,16.20718628168106,50
171.tcx,127.80000305175781,1.409229969e9,asphalt,2179.989990234375,1933925,130,farmland,50,420,46.590636195614934,8.595000267028809,96,16.206926023587584,50
171.tcx,127.80000305175781,1.409229976e9,asphalt,2240.800048828125,1933925,132,farmland,50,420,46.59098546952009,8.512999534606934,96,16.206315150484443,50
171.tcx,127.80000305175781,1.409229981e9,asphalt,2283.659912109375,1933925,132,farmland,50,420,46.59123265184462,8.446000099182129,96,16.205885829403996,50
171.tcx,127.80000305175781,1.409229989e9,asphalt,2349.8798828125,1933925,133,farmland,50,420,46.5916118491441,8.145999908447266,96,16.205219384282827,50
171.tcx,127.80000305175781,1.409229993e9,asphalt,2382.5,1933925,135,farmland,50,420,46.591796753928065,8.277000427246094,96,16.204888802021742,50
171.tcx,127.80000305175781,1.409230001e9,asphalt,2449.6298828125,1933925,135,farmland,50,420,46.592179806903005,8.383999824523926,96,16.204211628064513,50
171.tcx,127.80000305175781,1.409230006e9,asphalt,2491.5400390625,1933925,136,farmland,50,420,46.59240955486894,8.47599983215332,96,16.203778199851513,50
171.tcx,127.80000305175781,1.409230011e9,asphalt,2533.0,1933925,133,farmland,50,420,46.592642068862915,8.302000045776367,96,16.203354997560382,50
171.tcx,127.80000305175781,1.409230015e9,asphalt,2566.77001953125,1933925,133,farmland,50,420,46.59283535555005,8.097999572753906,96,16.203015111386776,50
171.tcx,127.80000305175781,1.409230023e9,asphalt,2633.530029296875,1933925,135,farmland,50,420,46.593212289735675,8.321999549865723,96,16.20233709923923,50
171.tcx,127.80000305175781,1.409230024e9,asphalt,2641.8701171875,1933925,134,farmland,50,420,46.593260150402784,8.229999542236328,96,16.202253280207515,50
171.tcx,127.80000305175781,1.409230032e9,asphalt,2708.7099609375,1933925,135,farmland,50,420,46.593638928607106,8.425000190734863,96,16.20157577097416,50
171.tcx,127.80000305175781,1.409230035e9,asphalt,2734.010009765625,1933925,137,farmland,50,420,46.593782007694244,8.317999839782715,96,16.201319033280015,50
171.tcx,127.80000305175781,1.409230042e9,asphalt,2794.469970703125,1933925,140,farmland,50,420,46.59411879256368,8.708999633789062,96,16.200699526816607,50
171.tcx,127.80000305175781,1.409230044e9,asphalt,2812.780029296875,1933925,140,farmland,50,420,46.59422591328621,8.708999633789062,96,16.20051789097488,70
171.tcx,127.80000305175781,1.409230051e9,asphalt,2874.56005859375,1933925,140,farmland,50,420,46.5945752710104,8.934000015258789,96,16.199890840798616,70
171.tcx,127.80000305175781,1.409230054e9,asphalt,2902.090087890625,1933925,137,farmland,50,420,46.59473503008485,9.355999946594238,96,16.199616249650717,70
171.tcx,127.80000305175781,1.409230055e9,asphalt,2911.60009765625,1933925,136,farmland,50,420,46.594789596274495,9.253999710083008,96,16.19952061213553,70
171.tcx,127.80000305175781,1.409230058e9,asphalt,2939.090087890625,1933925,133,farmland,50,420,46.59493979997933,9.232999801635742,96,16.19923579506576,70
171.tcx,127.80000305175781,1.409230063e9,asphalt,2984.5400390625,1933925,131,farmland,50,420,46.5951329190284,9.223999977111816,96,16.198711255565286,70
171.tcx,127.80000305175781,1.40923007e9,asphalt,3048.22998046875,1933925,131,farmland,50,420,46.5953314024955,9.119999885559082,96,16.19792377576232,50
171.tcx,127.80000305175781,1.409230071e9,asphalt,3056.949951171875,1933925,131,farmland,50,420,46.595359817147255,8.880999565124512,96,16.197817493230104,50
171.tcx,127.80000305175781,1.409230077e9,asphalt,3108.7900390625,1933925,131,farmland,50,420,46.595510859042406,8.586999893188477,96,16.197177534922957,70
171.tcx,127.80000305175781,1.409230084e9,asphalt,3169.949951171875,1933925,130,farmland,50,420,46.5956836938858,8.78600025177002,96,16.196419894695282,70
171.tcx,127.80000305175781,1.409230088e9,asphalt,3205.469970703125,1933925,130,farmland,50,420,46.595783941447735,8.855999946594238,96,16.195979760959744,90
396.tcx,170.60000610351562,1.382184318e9,asphalt,2296.5400390625,921875,138,farmland,50,210,46.59047618508339,9.534000396728516,99,16.207225592806935,50
396.tcx,170.60000610351562,1.382184321e9,asphalt,2324.610107421875,921875,138,farmland,50,210,46.59063317812979,9.223999977111816,97,16.206938847899437,50
396.tcx,170.60000610351562,1.382184328e9,asphalt,2387.1201171875,921875,138,farmland,50,210,46.5909884031862,8.734000205993652,92,16.206306433305144,50
396.tcx,171.0,1.38218433e9,asphalt,2404.820068359375,921875,138,farmland,50,210,46.59109074622393,8.805999755859375,93,16.206129658967257,50
